,Min,Max,Mean,Rms,Var,Std,Peak,P2p,CrestFactor,Skew,Kurtosis,FormFactor,PulseIndicator,Max_f,Sum_f,Mean_f,Var_f,Peak_f
78,-10768,23972,4771.053333333333,10649.300899746111,90644659.74382223,9520.748906668121,23972,34740,2.251039784270864,0.0134808942910022,1.8134847509484746,2.2320649457728647,5.024466994011106,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
79,-12260,23048,4405.856,10575.74441345226,92434802.80593066,9614.30199265296,23048,35308,2.179326494566485,-0.18557197610505521,1.8697596840194295,2.4003835834517195,5.231219540538774,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
80,-12108,27056,4943.242666666667,10633.160471405792,88628453.54911289,9414.268614667466,27056,39164,2.544492775478914,-0.16408132353520424,2.0143510892263783,2.1510496628270843,5.4733303267598705,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
81,-11956,23332,4615.56,10586.820038015821,90777364.40373333,9527.715592088867,23332,35288,2.203872354136368,-0.2652119336792063,1.9710154649487635,2.293723846730585,5.055074573832861,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
82,-13748,26400,4761.962666666666,10591.290490838845,89499145.82260624,9460.398819426497,26400,40148,2.492614098615766,-0.3408245858393599,2.144252861733512,2.2241439574856345,5.543932585779757,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
83,-12864,22840,5666.256,10612.66845187078,80522274.61179735,8973.420452190867,22840,35704,2.1521448732315585,-0.3702550815209349,2.3052646284865475,1.8729595789302107,4.030880355564591,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
84,-9480,20556,4464.749333333333,10416.812926290524,88576004.93183288,9411.482610717234,20556,30036,1.9733482923668177,0.47057919849233526,1.5584137970679002,2.3331237990271325,4.6040658646905745,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
85,-9956,21648,4296.344,10418.766293696517,90092119.31633066,9491.686853048337,21648,31604,2.077789192094395,0.49618129385000703,1.5250666577357406,2.4250307456052207,5.03870267371514,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
86,-9944,23320,4285.592,10310.317867974132,87936355.74820265,9377.438656061828,23320,33264,2.261811934279591,0.3983278596393906,1.525873430301039,2.4058094816245066,5.441488597141306,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
87,-11164,19340,3414.5066666666667,10305.459125466787,94543632.00995557,9723.35497706196,19340,30504,1.876675242174035,0.39391777199749994,1.469449415350922,3.0181399925416614,5.664068601418262,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
